0,0,0,,,,,,,,,
"-74,5","46,5","8,631338",,,,,,,,,
"-72,5","45,5","5,700877",,,,,,,,,
"-73,5","39,5","11,335784",,,,,,,,,
"-71,5","41,5","9,617692",,,,,,,,,
"-72,5","39,5","12,103719",,,,,,,,,
"-73,5","46,5","11,067972",,,,,ecart type,,variance_x,,
"-71,5","44,5","9,617692",,,,,"3,6031521751",,"12,9827055972","136,1346466949","3,046131599"
"-70,5","47,5","10,977249",,,,,,,,,
"-71,5","49,5","12,509996",,,,,,,,,
"-71,5","49,5","9,823442",,,,,Moyenne,,,,
"-74,5","47,5","10,511898",,,,,"-76,2627627628","60,2927927928","10,5042797267",,
"-74,5","48,5","9,823442",,,,,,,,,
"-74,5","50,5","8,860023",,,,,,,,,
"-71,5","49,5","6,041523",,,,,,,,,
"-74,5","44,5","13,28533",,,,,,,,,
"-74,5","50,5","10,977249",,,,,,,,,
"-74,5","51,5","11,768602",,,,,,,,,
"-74,5","51,5","12,349089",,,,,,,,,
"-74,5","51,5","11,768602",,,,,,,,,
"-73,5","49,5","9,924717",,,,,,,,,
"-75,5","49,5","9,823442",,,,,,,,,
"-68,5","51,5","7,778174",,,,,,,,,
"-71,5","49,5","9,823442",,,,,,,,,
"-71,5","50,5","9,192389",,,,,,,,,
"-70,5","51,5","11,335784",,,,,,,,,
"-75,5","53,5","9,617692",,,,,,,,,
"-75,5","53,5","9,924717",,,,,,,,,
"-74,5","45,5","13,72953",,,,,,,,,
"-74,5","54,5","11,510864",,,,,,,,,
"-75,5","53,5","9,924717",,,,,,,,,
"-74,5","54,5","11,423659",,,,,,,,,
"-74,5","53,5","10,124228",,,,,,,,,
"-74,5","54,5","10,977249",,,,,,,,,
"-75,5","53,5","9,617692",,,,,,,,,
"-75,5","53,5","10,511898",,,,,,,,,
"-74,5","47,5","13,509256",,,,,,,,,
"-74,5","47,5","14,089003",,,,,,,,,
"-74,5","47,5","13,946325",,,,,,,,,
"-74,5","47,5","14,089003",,,,,,,,,
"-74,5","54,5","11,423659",,,,,,,,,
"-74,5","54,5","11,510864",,,,,,,,,
"-75,5","46,5","12,747549",,,,,,,,,
"-74,5","47,5","12,103719",,,,,,,,,
"-74,5","47,5","12,349089",,,,,,,,,
