0,0,0,,r-m_r,,,,
"-91,5","0,5","38,916576",,,,,,
"-89,5","0,5","35,587921",,,,,,m_r
"-109,5","17,5","61,436958",,,,,,"21,4285690664"
"-97,5","8,5","45,853027",,,,,,
"-95,5","6,5","42,479408",,,,,,
"-97,5","8,5","45,853027",,,,var_r,,
"-97,5","8,5","46,157341",,,,"64,4664495939",,
"-91,5","4,5","38,993587",,,,,,
"-97,5","6,5","45,260357",,,,,,
"-100,5","5,5","47,33392",,,,,,
"-100,5","5,5","48,088459",,,,,,
"-100,5","5,5","47,691719",,,,,,
"-91,5","-3,5","48,95406",,,,,,
"-100,5","5,5","48,150806",,,,,,
"-106,5","12,5","56,502213",,,,,,
"-100,5","5,5","61,502033",,,,,,
"-92,5","2,5","39,300129",,,,,,
"-102,5","9,5","65,593445",,,,,,
"-89,5","0,5","35,756119",,,,,,
"-98,5","11,5","64,206696",,,,,,
"-88,5","1,5","36,117863",,,,,,
"-105,5","12,5","70,017853",,,,,,
"30,5","-69,5","33,533566",,,,,,
"-9,5","-33,5","33,800888",,,,,,
"-62,5","26,5","30,438463",,,,,,
"-43,5","50,5","16,263456",,,,,,
"48,5","50,5","30,927334",,,,,,
"-86,5","22,5","30,207615",,,,,,
"-18,5","51,5","40,798283",,,,,,
"109,5","-29,5","18,668154",,,,,,
"2,5","84,5","43,617657",,,,,,
"4,5","47,5","37,980259",,,,,,
"-16,5","8,5","31,693848",,,,,,
"-29,5","-2,5","35,305805",,,,,,
"-43,5","-37,5","33,77129",,,,,,
"-54,5","-42,5","34,474628",,,,,,
"-93,5","-82,5","35,531677",,,,,,
"-84,5","-68,5","37,583241",,,,,,
"-75,5","-67,5","41,647327",,,,,,
"-99,5","-40,5","35,587921",,,,,,
"-93,5","-25,5","44,300114",,,,,,
"-66,5","6,5","45,260357",,,,,,
"-8,5","-10,5","19,557608",,,,,,
"-12,5","50,5","11,597413",,,,,,
"-108,5","5,5","27,064737",,,,,,
"-106,5","71,5","53,521023",,,,,,
"-99,5","64,5","41,382362",,,,,,
"-107,5","65,5","44,254944",,,,,,
"-122,5","22,5","10,977249",,,,,,
"-46,5","-8,5","4,527693",,,,,,
"-105,5","49,5","40,205723",,,,,,
"-32,5","-52,5","3,807887",,,,,,
"-32,5","-36,5","3,807887",,,,,,
"-140,5","-40,5","63,737743",,,,,,
"-103,5","-58,5","37,901188",,,,,,
"-53,5","-63,5","46,802776",,,,,,
"-28,5","-47,5","48,337357",,,,,,
"30,5","-103,5","13,435029",,,,,,
"79,5","-84,5","20,796635",,,,,,
"64,5","-93,5","22,192341",,,,,,
"129,5","94,5","22,770596",,,,,,
"86,5","-96,5","20,796635",,,,,,
"99,5","-65,5","27,721832",,,,,,
